8 9 11 12 13 17 18 19 20 21 22 23 24 25 26 27 35 38 39 43 44 45 46 49 51 55 56 59 61 66 68 71 72 78 2 3 4 5 6 7 10 14 15 16 28 29 30 31 32 33 34 36 37 40 41 42 52 53 54 57 58 60 62 63 64 65 67 69 70 73 74 75 76 77 
s  p  r  o  g  a  m  v  i  n  t  e  0  1  2  3  4  5  6  7  8  9  .  L  E  =  <  >  l  b  d  f  s  h  w  +  -  *  /  ;  ,  (  )  :  c  j  k  q  u  x  y  z  A  B  C  D  F  G  H  I  J  K  M  N  O  P  Q  R  S  T  U  V  W  X  Y  Z  
18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  26  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
21  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
22  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
23  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
24  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
25  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
26  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
28  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
29  28  28  28  28  28  28  28  36  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
30  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
31  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
32  28  28  28  28  28  28  28  33  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
33  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  34  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
34  28  28  28  28  28  28  28  28  28  28  35  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
35  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
36  28  28  28  28  28  28  28  28  28  37  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
37  28  28  28  28  28  28  28  28  28  28  38  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
